"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","TC08 - Verify Customer API","chromium","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","3378","TC13 - Same account transfer validation","firefox","2026-05-29","passed","2026-05-29","Transfer Funds Module - 15 Test Cases","transferFunds.spec.js","",""
"","89","TC03 - Verify Content Type","webkit","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","2419","@negative Empty Amount","webkit","2026-05-29","passed","2026-05-29","","billPay.spec.js","",""
"","1027","TC02 - Register Button Visibility","chromium","2026-05-29","passed","2026-05-29","Registration Module","registerUser.spec.js","",""
"","84","TC04 - Verify Invalid Endpoint","firefox","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","2179","@smoke Navigation Validation","firefox","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","92","TC07 - Verify XML Response","webkit","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","1570","TC06 - Registration Page Title","webkit","2026-05-29","passed","2026-05-29","Registration Module","registerUser.spec.js","",""
"","1444","TC10 - Forgot Login Navigation","firefox","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","1816","TC07 - Logout Validation","chromium","2026-05-29","passed","2026-05-29","Authentication Module","authentication.spec.js","",""
"","89","TC12 - Verify Account Response","webkit","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","16804","@smoke Search By Amount","chromium","2026-05-29","failed","2026-05-29","","findTransactions.spec.js","",""
"","1189","TC15 - SSN Field Visibility","firefox","2026-05-29","passed","2026-05-29","Registration Module","registerUser.spec.js","",""
"","4793","TC01 - Open Savings Account","chromium","2026-05-29","passed","2026-05-29","Open Account Module","openAccount.spec.js","",""
"","1008","TC04 - Register Link Visibility","chromium","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","1935","@negative Special Characters","chromium","2026-05-29","passed","2026-05-29","","billPay.spec.js","",""
"","2563","@regression Session Validation","webkit","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","1005","TC08 - First Name Visibility","chromium","2026-05-29","passed","2026-05-29","Registration Module","registerUser.spec.js","",""
"","17338","@smoke Search By Transaction ID","chromium","2026-05-29","failed","2026-05-29","","findTransactions.spec.js","",""
"","1638","TC10 - Forgot Login Navigation","webkit","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","1044","TC05 - Forgot Login Visibility","firefox","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","5472","@regression Transaction Table Validation","webkit","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","86","TC06 - Verify Response Time","firefox","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","1481","TC08 - Login with Valid Credentials","chromium","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","87","TC15 - Verify API Data Exists","webkit","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","5032","@regression Transaction Table Validation","chromium","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","1635","TC14 - Register Link Enabled","webkit","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","1942","@negative Empty Amount","chromium","2026-05-29","passed","2026-05-29","","billPay.spec.js","",""
"","87","TC13 - Verify API Endpoint Reachable","webkit","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","81","TC14 - Verify Response Not Empty","chromium","2026-05-29","passed","2026-05-29","API Testing Module","apiTesting.spec.js","",""
"","1018","TC13 - Login Button Enabled","chromium","2026-05-29","passed","2026-05-29","Account Services Module","accountServices.spec.js","",""
"","2734","TC07 - Account selection works","firefox","2026-05-29","passed","2026-05-29","Transfer Funds Module - 15 Test Cases","transferFunds.spec.js","",""
"","2669","TC08 - Session Persistence Validation","webkit","2026-05-29","passed","2026-05-29","Open Account Module","openAccount.spec.js","",""
"","1042","TC08 - Password Masking","chromium","2026-05-29","passed","2026-05-29","Authentication Module","authentication.spec.js","",""
"","2079","@negative Invalid Amount","chromium","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","18247","@smoke End to End Bill Pay Flow","chromium","2026-05-29","failed","2026-05-29","","billPay.spec.js","",""
"","1036","TC12 - Page Title Validation","chromium","2026-05-29","passed","2026-05-29","Authentication Module","authentication.spec.js","",""
"","7595","TC03 - Invalid Password","webkit","2026-05-29","failed","2026-05-29","Authentication Module","authentication.spec.js","",""
"","1138","TC13 - Zip Code Field Visibility","chromium","2026-05-29","passed","2026-05-29","Registration Module","registerUser.spec.js","",""
"","2138","TC08 - Successful transfer","chromium","2026-05-29","passed","2026-05-29","Transfer Funds Module - 15 Test Cases","transferFunds.spec.js","",""
"","2627","@negative Special Characters","webkit","2026-05-29","passed","2026-05-29","","billPay.spec.js","",""
"","2190","@regression Multiple Search","chromium","2026-05-29","passed","2026-05-29","","findTransactions.spec.js","",""
"","2775","TC04 - To account visible","firefox","2026-05-29","passed","2026-05-29","Transfer Funds Module - 15 Test Cases","transferFunds.spec.js","",""
"","1197","TC10 - Username Field Visibility","firefox","2026-05-29","passed","2026-05-29","Authentication Module","authentication.spec.js","",""
